Acousticness,Danceability,Duration,Energy,Explicit,Instrumentalness,Liveness,Loudness,Mode,Speechiness,Tempo,TimeSignature,Valence
0.102,0.826,313947,0.493,TRUE,0,0.0766,-3.69,0,0.269,88.042,4,0.478
0.00317,0.924,290120,0.647,FALSE,0,0.193,-3.349,1,0.0712,112.239,4,0.678
0.251,0.727,392827,0.696,TRUE,0,0.0726,-4.472,0,0.0706,132.077,4,0.467
0.322,0.732,293423,0.791,TRUE,0,0.71,-1.865,1,0.24,81.972,4,0.56
0.138,0.441,309707,0.975,TRUE,0,0.854,-3.251,1,0.271,87.142,4,0.681
0.578,0.663,53573,0.626,TRUE,0,0.469,-10.536,1,0.639,148.087,1,0.837
0.0146,0.878,309760,0.595,TRUE,6.8e-5,0.328,-3.924,0,0.203,89.995,4,0.851
0.0197,0.693,298893,0.899,TRUE,0,0.0594,-4.084,1,0.259,86.048,4,0.319
0.144,0.785,290427,0.871,TRUE,0,0.309,-2.692,0,0.265,87.248,4,0.315
0.00166,0.672,339573,0.81,FALSE,2.03e-6,0.0328,-4.306,0,0.124,164.039,4,0.179
0.00352,0.443,199800,0.683,TRUE,0,0.338,-5.973,0,0.381,178.425,4,0.379
0.0705,0.949,248680,0.646,TRUE,1.14e-5,0.213,-3.728,0,0.0484,121.007,4,0.927
0.0541,0.73,403733,0.536,FALSE,0.568,0.538,-5.899,0,0.0712,80.047,4,0.542
0.107,0.693,252707,0.856,TRUE,0,0.355,-4.045,0,0.378,89.899,4,0.607
0.0887,0.674,297520,0.879,TRUE,0,0.11,-2.573,0,0.174,84.08,4,0.403
0.137,0.783,246653,0.719,TRUE,0,0.489,-4.695,0,0.274,101.856,4,0.213
0.0227,0.671,296880,0.755,TRUE,5.29e-4,0.107,-3.439,0,0.268,81.853,4,0.387
0.16,0.884,315347,0.492,TRUE,0,0.359,-5.343,0,0.112,130.072,4,0.11
0.0116,0.767,257907,0.864,TRUE,0,0.0957,-1.847,0,0.133,85.475,4,0.747
0.186,0.7,286526,0.935,TRUE,0,0.323,-1.449,1,0.385,172.092,4,0.589
0.0606,0.775,278160,0.829,TRUE,0,0.33,-1.933,1,0.304,176.047,4,0.836
0.094,0.713,316400,0.909,FALSE,1.69e-4,0.306,-6.535,0,0.527,184.032,4,0.73
0.0328,0.664,253067,0.903,TRUE,0,0.863,-4.449,0,0.473,94.667,4,0.608
0.235,0.617,266933,0.554,TRUE,0,0.109,-4.474,1,0.483,176.723,4,0.304
0.198,0.702,58280,0.823,TRUE,0,0.163,-3.329,1,0.473,160.995,4,0.323
0.0416,0.869,268400,0.68,TRUE,1.12e-6,0.0914,-6.233,1,0.318,85.519,4,0.815
0.228,0.784,319973,0.846,TRUE,0,0.233,-3.333,0,0.295,75.145,4,0.67
0.205,0.685,283520,0.87,TRUE,0,0.259,-1.919,0,0.198,84.048,4,0.649
0.252,0.719,261387,0.858,TRUE,0,0.628,-1.366,0,0.25,84.497,4,0.616
0.261,0.907,222477,0.64,TRUE,0,0.0785,-6.542,1,0.354,120.995,4,0.803
0.0615,0.72,319853,0.825,TRUE,0,0.0618,-2.71,0,0.384,76.697,4,0.747
0.176,0.709,236659,0.923,TRUE,0,0.065,-2.449,1,0.248,143.992,4,0.662
0.0616,0.685,265025,0.815,TRUE,0,0.154,-4.494,0,0.459,165.369,4,0.4
0.271,0.588,319867,0.883,TRUE,0,0.159,-1.447,0,0.361,180.316,4,0.769
0.0441,0.809,226938,0.737,TRUE,0,0.341,-5.186,1,0.108,80.025,4,0.367
0.112,0.718,227173,0.645,TRUE,0,0.336,-7.212,0,0.369,82.51,4,0.552
0.0218,0.865,205400,0.589,TRUE,4.6e-6,0.04,-4.224,1,0.258,91.968,4,0.776
0.0253,0.537,292480,0.961,TRUE,0,0.332,-1.498,1,0.295,82.44,4,0.487
0.133,0.437,232920,0.836,TRUE,0,0.627,-4.957,0,0.405,85.235,4,0.45
0.096,0.736,237333,0.945,TRUE,0,0.179,-2.574,0,0.282,119.67,5,0.683
0.139,0.575,184040,0.875,TRUE,4.09e-4,0.141,-3.866,0,0.196,90.547,4,0.27
0.0835,0.935,286987,0.853,TRUE,1.68e-6,0.181,-1.348,1,0.0672,114.007,4,0.654
0.0706,0.559,297907,0.84,FALSE,0,0.0967,-3.264,1,0.236,171.311,4,0.113
0.064,0.612,434077,0.797,TRUE,0,0.257,-3.648,1,0.448,81.086,4,0.358
0.239,0.701,241587,0.931,TRUE,0,0.194,-0.945,0,0.243,79.996,4,0.362
0.0274,0.612,254760,0.819,TRUE,6.46e-4,0.0938,-4.592,1,0.321,84.977,4,0.279
0.123,0.685,244160,0.884,TRUE,0,0.105,-3.072,1,0.188,79.903,4,0.902
0.343,0.759,242907,0.81,TRUE,0,0.34,-0.026,1,0.288,83.03,4,0.78
0.141,0.667,265013,0.808,TRUE,0,0.115,-4.667,1,0.265,83.031,4,0.653
0.0231,0.668,242307,0.729,TRUE,0,0.128,-6.421,0,0.262,79.872,4,0.734
0.0416,0.898,301147,0.753,TRUE,0,0.253,-6.336,1,0.275,132.066,4,0.414
0.299,0.8,159787,0.707,TRUE,0,0.698,-5.295,1,0.327,95.849,4,0.619
0.124,0.795,145827,0.848,TRUE,0,0.313,-3.812,1,0.307,86.03,4,0.79
0.112,0.78,216029,0.808,TRUE,0,0.329,-5.175,1,0.484,79.982,4,0.642
0.227,0.83,262494,0.546,TRUE,0,0.112,-5.716,1,0.295,182.973,4,0.535
0.142,0.748,221013,0.749,TRUE,0,0.0713,-5.916,0,0.516,90.09,4,0.659
0.304,0.773,325347,0.811,TRUE,0,0.174,0.496,1,0.0882,81.037,4,0.774
0.0265,0.771,311893,0.568,TRUE,0,0.226,-4.621,0,0.235,59.494,4,0.678
0.275,0.385,357707,0.908,TRUE,0,0.223,-2.428,0,0.389,79.275,4,0.538
0.197,0.693,319973,0.853,TRUE,0,0.259,-3.391,0,0.33,75.271,4,0.638
0.129,0.845,301721,0.835,TRUE,0,0.0552,-3.814,0,0.241,116.927,4,0.6
0.0803,0.554,370133,0.887,TRUE,0,0.15,-3.367,1,0.503,172.233,4,0.648
0.0497,0.714,391416,0.787,TRUE,0,0.58,-6.769,0,0.401,138.017,4,0.131
0.155,0.897,264400,0.559,TRUE,1.27e-4,0.296,-8.268,1,0.379,106.991,4,0.677
0.0298,0.733,323573,0.689,FALSE,0,0.0962,-1.858,0,0.247,81.983,4,0.718
0.119,0.634,371280,0.807,TRUE,0,0.572,-3.483,0,0.401,107.701,4,0.509
0.096,0.859,214093,0.642,TRUE,0.00927,0.21,-3.068,1,0.13,92.055,4,0.353
0.326,0.657,130613,0.876,TRUE,6.56e-4,0.303,-1.65,1,0.371,83.506,4,0.632
0.276,0.664,296269,0.899,TRUE,0,0.197,-3.711,0,0.474,164.125,4,0.534
0.0525,0.781,250189,0.853,TRUE,0,0.12,-3.68,0,0.0715,110.049,4,0.624
0.00525,0.695,265467,0.661,TRUE,0,0.286,-7.2,1,0.0645,104.979,3,0.513
0.0305,0.616,309638,0.684,TRUE,0,0.376,-6.032,1,0.311,179.503,4,0.312
0.0853,0.518,297520,0.876,TRUE,0,0.116,-2.552,0,0.279,84.097,4,0.353
0.0216,0.587,377893,0.923,TRUE,0,0.481,-3.05,0,0.441,142.075,4,0.0778
0.104,0.74,283067,0.915,TRUE,0,0.0853,-2.472,0,0.211,93.035,4,0.382
0.236,0.911,181360,0.873,TRUE,0,0.293,-0.907,1,0.158,98.07,4,0.704
0.0136,0.744,252960,0.827,TRUE,0,0.272,-2.972,1,0.113,145.972,4,0.735
0.0254,0.887,219240,0.758,TRUE,5.21e-4,0.0887,-6.43,1,0.214,105.118,4,0.652
0.0627,0.876,244679,0.786,TRUE,0,0.127,-4.884,0,0.306,153.068,4,0.575
6.03e-4,0.222,208613,0.943,TRUE,0.0475,0.247,-3.23,1,0.0734,192.185,4,0.691
0.0219,0.557,192360,0.834,FALSE,0,0.329,-4.371,1,0.0335,137.69,4,0.659
1.79e-4,0.471,256627,0.964,TRUE,0,0.541,-3.293,1,0.0467,156.014,4,0.847
5.14e-4,0.243,143160,0.996,FALSE,1.09e-5,0.0607,-2.811,1,0.174,172.794,4,0.452
6.89e-4,0.69,184987,0.835,FALSE,0,0.24,-4.875,1,0.0359,95.001,4,0.715
0.207,0.869,120587,0.455,FALSE,0.003,0.197,-7.822,1,0.178,87.833,4,0.912
8.77e-6,0.482,198093,0.946,FALSE,0.00172,0.0891,-3.416,1,0.0353,115.883,4,0.867
0.319,0.481,101680,0.92,FALSE,7.19e-5,0.194,-4.465,1,0.126,130.473,3,0.801
0.00259,0.373,224827,0.993,FALSE,1.35e-6,0.0717,-3.166,1,0.129,90.699,4,0.291
1.19e-4,0.441,142240,0.976,TRUE,2.77e-6,0.263,-3.581,1,0.084,178.011,4,0.689
0.0341,0.404,170760,0.322,FALSE,2.31e-5,0.123,-10.904,1,0.0582,82.2,4,0.776
6.94e-4,0.67,221627,0.954,TRUE,2.71e-4,0.133,-2.632,0,0.0363,105.998,4,0.882
3.94e-4,0.183,216173,0.973,FALSE,1.75e-4,0.397,-3.83,1,0.13,195.76,4,0.728
0.00247,0.526,231027,0.923,FALSE,1.64e-4,0.0866,-4.089,1,0.0282,121.597,4,0.775
5.83e-4,0.419,193440,0.983,FALSE,8.09e-5,0.163,-4.073,0,0.0389,147.584,4,0.946
0.00247,0.526,231027,0.923,FALSE,1.64e-4,0.0866,-4.089,1,0.0282,121.597,4,0.775
7.02e-4,0.625,165773,0.892,TRUE,0.0868,0.127,-3.194,0,0.0606,131.982,4,0.45
